"age","sex","sex_orient","sex_orient_4_TEXT","gender","gender_3_TEXT","race","poly_identity","rel_status","num_partners","num_partners_3_TEXT","name_partner","name_partner1","name_partner2","idealAmbitionBlue","idealAttractBlue","idealIntelBlue","idealSexyBlue","idealKindBlue","idealStatusBlue","idealWealthBlue","idealAmbitionOrange","idealAttractOrange","idealIntelOrange","idealSexyOrange","idealKindOrange","idealStatusOrange","idealWealthOrange","attncheck9","orange_gender","orange_gender._3_TEXT","blue_gender","blue_gender_3_TEXT","self_ambition1","self_ambition2","attn_check8","self_intel1","self_intel2","self_kind1","self_kind2","self_attract1","self_attract2","self_finance1","self_finance2","self_sexy1","self_sexy2","self_status1","self_status2","soi_partners","soi_oneencounter","soi_shortterm","soi_sexonly_1","soi_casual_agreement_1","soi_longterm_reverse_1","soi_fantasies1","soi_arousal","soi_fantasies2","fin_invest","time_invest","emot_close","roles_blue","roles_orange","actual_a_ambition1","actual_a_ambition2","attn_check10a","actual_a_intel1","actual_a_intel2","actual_a_kind1","actual_a_kind2","actual_a_attract1","actual_a_attract2","actual_a_finance1","actual_a_finance2","actual_a_sexy1","actual_a_sexy2","actual_a_status1","actual_a_status2","actual_a_age","actual_a_gender","actual_a_gender._4_TEXT","actual_b_ambition1","actual_b_ambition2","actual_b_intel1","actual_b_intel2","actual_b_kind1","actual_b_kind2","actual_b_attract1","actual_b_attract2","actual_b_finance1","actual_b_finance2","actual_b_sexy1","actual_b_sexy2","actual_b_status1","actual_b_status2","actual_b_age","actual_b_gender","actual_b_gender._4_TEXT","jealousy_proneness_1","jealousy_intensity_1","jealousy_proneness1_1","jealousy_intensity1_1","jealousy_proneness2_1","jealousy_intensity2_1","jealousy_sexual","jealousy_emotional.","jealousy_sexual1","jealousy_emotional1","jealousy_sexual2","jealous_emotional2","fin_invest_actual","time_invest_actual","emot_close_actual","roles_partnerA","roles_partnerB","actual_ambition1","actual_ambition2","actual_intel1","actual_intel2","actual_kind1","actual_kind2","actual_attract1","actual_attract2","actual_finance1","actual_finance2","actual_sexy1","actual_sexy2","actual_status1","attn_check10b","actual_status2","actual_partner_age","actual_gender","actual_gender_4_TEXT","poly_attn","textQuality","poly_attn_dup","PIN","raceText","self_ambition","self_intel","self_kind","self_attract","self_finance","self_sexy","self_status","actual_a_ambition","actual_a_intel","actual_a_kind","actual_a_attract","actual_a_finance","actual_a_sexy","actual_a_status","actual_b_ambition","actual_b_intel","actual_b_kind","actual_b_attract","actual_b_finance","actual_b_sexy","actual_b_status","actual_ambition","actual_intel","actual_kind","actual_attract","actual_finance","actual_sexy","actual_status","soiBehavior","soi_longtermR","soiAttitude","soiDesire","soiGlobal"
30,"0","3","","0","","5","1","1",NA,"","","","",6,5,6,5,5,5,4,0,5,6,6,6,5,6,9,"1","","0","",6,5,8,5,7,7,7,6,4,5,5,5,5,4,4,2,6,6,7,5,4,6,3,2,4,4,2,"1,4,10","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","The times that I have been involved in one, it was because the partner I was with at the time wanted to try it. I ended up enjoying the fluidity of having a relationship with those parameters, so I sought it out on my own when that relationship ended. It allows me to not feel stifled in my romantic life, though if I met someone who wanted monogamy I would have no issue with respecting their wishes.",0,FALSE,"26","Native American or American Indian",5.5,6,7,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,6,6,3.66666666666667,4.77777777777778
36,"1","4","demisexual","0","","6","1","2",1,"","KS","","",3,6,8,6,7,2,3,3,6,8,6,7,2,3,9,"0","","2","",4,4,8,7,7,8,8,5,5,7,6,7,6,7,7,2,1,1,9,6,7,6,2,1,4,4,3,"1,2,4,10","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,"","",7,7,6,6,8,7,6,5,3,5,6,2,6,10,6,30,"1","","I only become physically attracted to people really if I am emotionally connected to them. I don't form a lot of friendships, but when I do, I become extremely close to them.  This can lead to relationships forming.",0,FALSE,"135","White",4,7,8,5,6.5,6.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7.5,5.5,4,4,6,1.33333333333333,3,6,3,3.44444444444444
33,"0","3","","0","","6","1","1",NA,"","","","",4,5,8,5,8,4,5,4,5,0,5,7,4,6,9,"1","","0","",4,6,8,7,7,5,7,5,6,5,5,5,6,5,5,1,2,4,8,4,3,3,3,2,4,4,2,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I realized that I didn't want to become dependent on one person and devote all my time to them, with them having the same expectations of me. I like my alone time and independence. I find that polyamory works better for that lifestyle. It has nothing to do with wanting to sleep around with numerous individuals for me. ",0,FALSE,"175","White",5,7,6,5.5,5,5.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,7,6.33333333333333,2.66666666666667,3.77777777777778
29,"0","4","Pansexual","0","","1,2,3,6","1","1",NA,"","","","",5,6,6,5,7,4,3,4,6,6,5,7,3,3,9,"0","","1","",5,5,8,8,9,7,8,6,8,5,5,7,3,5,4,4,1,1,9,4,5,3,2,2,4,4,3,"1,2,4,5,10","1,2,4,5,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I haven't been in a polyamorous relationship actually, but I am open to the idea, as I feel like I and another individuals(s) could have a really strong relationship with each other and would be open to the idea of being in a relationship together, why limit it if it works out for all?",0,FALSE,"158","Multi-racial",5,8.5,7.5,7,5,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,6,2.33333333333333,3.44444444444444
27,"1","1","","1","","6","1","2",2,"","","RW","CC",0,6,6,6,9,1,1,5,7,7,5,9,1,7,9,"0","","0","",6,5,8,8,9,5,10,8,6,4,7,8,10,6,5,4,3,1,5,4,8,2,2,2,5,2,2,"1,2,6,9,10","1,3,10",6,8,11,9,8,5,4,6,4,9,9,6,3,8,9,27,"1","",7,5,8,8,6,9,10,9,3,5,10,9,7,6,24,"1","",NA,NA,3,5,7,6,NA,NA,2,3,5,5,4,5,5,"3,4,10","1,2,4,5,6,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","RW did not believe in typical relationship structures and we discussed it ",0,FALSE,"157","White",5.5,8.5,7.5,7,5.5,9,5.5,7,8.5,4.5,5,9,4.5,8.5,6,8,7.5,9.5,4,9.5,6.5,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,2,3.66666666666667,2,2.77777777777778
35,"0","3","","0","","6","1","1",NA,"","","","",5,5,5,5,4,3,8,7,4,6,6,4,1,7,9,"0","","0","",8,9,8,8,5,8,7,8,7,7,8,7,9,7,8,4,2,3,6,7,5,7,7,6,4,4,3,"1,2,3,4,10","1,2,3,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","we as humans were meant to be in groups and meant to make connections with others.. through that finding people that we are drawn to and want to be around just happens sometimes",0,FALSE,"174","White",8.5,6.5,7.5,7.5,7.5,8,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,6.66666666666667,5.22222222222222
41,"0","4","Queer","0","","6","1","5",1,"","Jab","","",6,4,6,5,7,3,7,6,0,7,6,5,2,6,9,"1","","1","",3,4,8,7,7,3,5,5,3,9,8,3,2,6,4,2,5,8,9,8,1,8,6,4,4,4,3,"1,2,4,10","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,"","",7,7,7,7,5,9,7,7,10,9,6,10,9,10,8,58,"2","","I never wanted to be in a monogamous relationship, so polyamory is my lifestyle by default. My partner is married, and we have been together 9 years",0,FALSE,"4","White",3.5,7,4,4,8.5,2.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,9.5,8,8.5,5,9,8.66666666666667,6,6.55555555555556
31,"1","3","","0","","6","1","5",1,"","ED","","",0,5,5,9,10,1,4,0,6,6,10,10,0,4,9,"0","","1","",4,2,8,5,5,5,5,4,4,1,3,5,6,2,2,2,1,1,9,9,3,6,6,6,4,4,3,"1,2,4,10","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,3,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,"","",6,6,6,6,4,6,6,6,2,4,7,9,5,10,5,28,"2","","The more love, the better",0,FALSE,"28","White",3,5,5,4,2,5.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,3,8,5,1.33333333333333,7,8.33333333333333,6,5.22222222222222
36,"1","1","","1","","6","1","1",NA,"","","","",6,6,6,8,4,6,8,6,6,4,6,2,1,1,9,"0","","0","",10,10,8,7,5,10,8,5,5,6,6,8,6,7,5,6,4,3,7,9,3,6,6,2,4,3,2,"1,3,10","1,4,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I love the fact that two grown adults can have fun with other sexual partners without either individual getting upset. Also I could never picture myself with the same woman for the rest of my life.  ",0,FALSE,"75","White",10,6,9,5,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33333333333333,7,7.66666666666667,4.66666666666667,5.55555555555556
26,"1","2","","1","","6","1","1",NA,"","","","",7,0,7,0,7,7,7,0,7,7,7,0,7,7,9,"1","","1","",6,6,8,8,8,3,6,2,2,4,6,6,9,3,6,7,4,7,9,9,1,9,7,8,4,3,2,"2,3,4,5,6,9","1,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Being gay and in the kink community doesn't really leave you with a choice",0,FALSE,"94","White",6,8,4.5,2,5,7.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,9,8,7.66666666666667
23,"0","2","","0","","2,6","1","1",NA,"","","","",5,6,6,5,6,3,4,5,6,6,5,6,3,4,9,"0","","0","",7,9,8,7,4,9,8,2,4,4,3,5,1,7,6,1,4,2,8,3,3,2,2,2,4,4,3,"1,2,3,4,5","1,2,3,4,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I frequently experience panic when having to choose one single partner when I know I love both people. It also puts less pressure on me to preform specific responsibilities in a relationship when I'm stressed. ",0,FALSE,"100","Multi-racial",8,5.5,8.5,3,3.5,3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,7,6,2,3.44444444444444
30,"1","1","","1","","3","1","5",2,"","","TK","SS",5,6,6,6,7,4,5,4,5,5,6,7,0,4,9,"0","","0","",8,7,8,6,7,8,8,6,6,7,7,6,8,6,6,3,4,2,6,7,3,3,3,2,4,4,2,"1,4,6","1,2,4,9",5,5,11,5,5,8,8,6,6,4,4,6,8,5,5,25,"1","",7,7,7,7,8,8,6,7,8,7,6,6,7,7,29,"1","",NA,NA,3,3,2,2,NA,NA,3,3,1,2,2,4,2,"1,2,4,6,9","1,2,4,9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I always felt pressured by society norms and by previously being in a religion that pushed for monogamous relationships. I always felt something was missing and one day I stopped caring what others thought and even left the religion I was in. I feel happier and free.",0,FALSE,"64","Hispanic or Latino",7.5,6.5,8,6,7,7,6,5,5,8,6,4,7,5,7,7,8,6.5,7.5,6,7,NA,NA,NA,NA,NA,NA,NA,3,7,6.66666666666667,2.66666666666667,4.11111111111111
32,"0","3","","0","","6","1","2",1,"","RM","","",5,4,8,6,8,4,0,5,4,8,6,8,4,0,9,"0","","2","",9,9,8,9,9,7,8,5,5,3,4,5,5,6,6,3,8,8,9,9,1,9,6,2,4,4,3,"1,2,4,6,9,10","1,2,4,6,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,"","",7,7,9,9,9,10,9,7,3,3,10,8,8,10,7,35,"1","","I don't feel like one person can be everything for someone else, and that it is possible for a relationship to be made healthier by the parties involved pursuing other relationships.",0,FALSE,"180","White",9,9,7.5,5,3.5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,9.5,8,3,9,7.5,6.33333333333333,9,9,5.66666666666667,7
38,"1","3","","1","","7","1","3",NA,"","","","",3,6,4,6,5,5,8,2,7,4,6,6,5,3,9,"0","","1","",5,4,8,6,6,7,6,6,6,7,6,7,7,5,5,3,6,6,8,8,2,7,6,8,4,3,4,"1,2,3,4,5","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Realizing that I (and my current partner) had strong emotional and sexual feelings toward other people.",0,FALSE,"2","Prefer not to say",4.5,6,6.5,6,6.5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,8,7,6.66666666666667
34,"1","1","","1","","6","1","5",2,"","","RJ","MM",7,7,7,6,5,3,2,6,7,3,2,6,4,5,9,"0","","0","",8,7,8,8,8,9,9,8,8,8,7,9,9,8,8,5,5,3,6,8,2,8,7,7,4,4,3,"1,2,5,9","1,3,4,10",7,9,11,8,7,7,6,8,7,9,9,8,8,9,8,35,"1","",9,8,9,9,8,10,9,9,8,8,8,8,10,8,52,"1","",NA,NA,4,4,4,3,NA,NA,2,2,2,2,4,4,3,"1,3,4,10","1,2,5,9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","We all just connected together, so we thought that it made sense to just get together with one another.",0,FALSE,"168","White",7.5,8,9,8,7.5,9,8,8,7.5,6.5,7.5,9,8,8.5,8.5,9,9,9,8,8,9,NA,NA,NA,NA,NA,NA,NA,4.33333333333333,8,7.33333333333333,7.33333333333333,6.33333333333333
58,"1","2","","1","","6","1","5",3,"5","","MDH","JN",0,10,0,10,10,10,0,0,10,0,10,10,0,0,9,"1","","1","",9,10,8,8,9,9,10,8,7,7,9,10,10,9,8,8,8,4,9,9,1,9,9,8,3,4,2,"1,2,4,5,6,9,10","1,2,4,5,9,10",8,8,11,7,6,7,10,9,9,1,3,8,7,9,7,45,"2","",8,8,6,7,8,9,8,9,5,4,10,9,5,5,42,"2","",NA,NA,7,7,7,7,NA,NA,4,5,4,4,3,3,2,"1,2,3,4,5,6,9,10","1,2,4,5,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","variety of sexual partners",0,FALSE,"58","White",9.5,8.5,9.5,7.5,8,10,8.5,8,6.5,8.5,9,2,7.5,8,8,6.5,8.5,8.5,4.5,9.5,5,NA,NA,NA,NA,NA,NA,NA,6.66666666666667,9,9,8.66666666666667,8.11111111111111
36,"1","4","Queer","1","","2,6","1","5",3,"3","","MM","KO",5,5,5,5,6,4,5,4,5,6,5,6,4,5,9,"2","","0","",6,5,8,6,5,6,6,4,3,7,7,6,6,4,6,6,2,2,7,6,2,2,2,1,4,4,3,"1,2,4,5,10","1,2,4,5,10",8,8,11,6,7,6,8,8,8,7,5,8,9,5,7,39,"1","",8,7,8,8,5,6,7,7,8,7,7,5,8,6,38,"3","",NA,NA,1,1,1,1,NA,NA,1,1,1,1,4,3,3,"1,2,4,5,10","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I've always felt that monogamy didn't fit well with me. I've never been jealous and feel like holding on to one person and only one person at a time feels stifling and too traditional.",0,FALSE,"76","Multi-racial",5.5,5.5,6,3.5,7,6,5,8,6.5,7,8,6,8.5,6,7.5,8,5.5,7,7.5,6,7,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,8,7,1.66666666666667,4
29,"1","1","","1","","6","1","1",NA,"","","","",0,1,1,6,4,5,2,8,8,4,8,9,7,7,9,"0","","0","",6,7,8,8,8,9,9,9,7,7,9,9,9,9,8,6,2,4,9,9,2,7,6,4,3,3,4,"1,10","1,2,3,5,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I flirted with the idea for years. It wasn't until I moved cities that I took the leap. I enjoy sexual encounters with more than one partner ",0,FALSE,"88","White",6.5,8,9,8,8,9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,8.66666666666667,5.66666666666667,6.11111111111111
21,"0","3","","0","","6","1","5",1,"","ML","","",4,5,5,5,5,5,5,7,5,5,5,5,5,4,9,"1","","0","",9,8,8,8,8,8,7,7,8,9,9,7,6,7,8,5,3,2,8,7,1,2,2,1,5,4,3,"1,3,5,10","1,2,3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",3,4,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,"","",9,8,8,9,6,7,10,8,9,8,7,8,7,10,7,24,"2","","I feel like its more interesting and provides a lot of possibilities of self exploration. ",0,FALSE,"148","White",8.5,8,7.5,7.5,9,6.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.5,6.5,9,8.5,7.5,7,3.33333333333333,9,8,1.66666666666667,4.33333333333333
62,"1","1","","1","","6","1","5",2,"","","BJ","AB",5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,"0","","0","",5,6,8,5,5,8,9,5,5,8,6,7,8,7,5,3,6,4,5,4,5,3,4,5,4,4,3,"1,4","1,4",6,9,11,7,7,6,8,9,8,7,8,9,7,7,7,50,"1","",8,8,8,8,9,9,8,8,8,9,8,8,8,8,48,"1","",NA,NA,3,3,2,2,NA,NA,2,3,2,2,4,4,3,"1,4","1,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I was asked if I'd be interested and I agreed.",0,FALSE,"69","White",5.5,5,8.5,5,7,7.5,6,7.5,7,7,8.5,7.5,8,7,8,8,9,8,8.5,8,8,NA,NA,NA,NA,NA,NA,NA,4.33333333333333,5,4.66666666666667,4,4.33333333333333
29,"0","3","","0","","2","1","2",2,"","","JG","PT",5,5,5,5,5,5,5,5,6,5,6,5,5,3,9,"1","","0","",8,6,8,6,6,7,7,6,6,6,7,6,6,6,7,3,2,1,1,1,8,1,1,1,4,5,3,"1,2,6","1,2,5,6",7,7,11,6,6,6,8,7,7,6,6,7,6,6,6,29,"2","",5,5,5,5,6,6,6,7,5,5,7,5,5,6,27,"1","",NA,NA,2,2,2,1,NA,NA,2,2,2,2,2,2,2,"1,2,3,4,5,6,10","1,2,3,4,6,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","My husband had desires and I wanted to make sure he was taken care of because he is an amazing man. He deserves whatever he needs and wants. ",0,FALSE,"9","Black or African American",7,6,7,6,6.5,6,6.5,7,6,7,7,6,6.5,6,5,5,6,6.5,5,6,5.5,NA,NA,NA,NA,NA,NA,NA,2,2,1.33333333333333,1,1.44444444444444
25,"1","2","","0","","6","1","5",3,"4","","E","J",4,5,5,4,5,4,4,5,6,6,6,6,5,5,9,"0","","0","",7,7,8,7,7,6,7,7,7,7,5,5,9,7,7,6,2,1,9,2,7,2,3,1,5,5,3,"1,2,4,5,10","1,2,3,4,5,10",7,8,11,9,8,8,9,6,6,4,9,5,2,7,7,38,"3","",6,6,7,7,8,7,3,4,5,4,3,1,5,3,22,"1","",NA,NA,2,2,4,4,NA,NA,1,1,1,2,6,4,1,"2,4,5,9,10","2,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Realizing that I had a lot of love to go around, that it was unrealistic for me to expect the world out of one person and that loving multiple people would be a much more realistic -- and surprisingly manageable way to go about things. It was also a *touch* spur of the moment -- I knew I was poly, I simply didn't expect to end up in four relationships simultaneously until it was happening.",0,FALSE,"45","White",7,7,6.5,7,6,7,7,7.5,8.5,8.5,6,6.5,3.5,7,6,7,7.5,3.5,4.5,2,4,NA,NA,NA,NA,NA,NA,NA,3,3,4.66666666666667,2,3.22222222222222
35,"1","1","","1","","6","1","2",1,"","KM","","",3,6,8,4,7,1,5,5,8,4,7,5,2,5,9,"0","","0","",6,5,8,10,10,5,6,6,8,9,9,5,9,6,6,2,5,3,8,7,4,4,5,4,3,4,2,"1,2,4,5,6","1,3,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",3,5,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,"","",6,7,9,9,6,9,8,7,9,10,7,6,8,10,7,32,"1","","An exploration of my personal feelings and previous relationship histories, as well as discussions with a therapist about my motivations and desires when entering a relationship. ",0,FALSE,"97","White",5.5,10,5.5,7,9,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,9,7.5,7.5,9.5,6.5,7.5,3.33333333333333,6,7,4.33333333333333,4.88888888888889
42,"1","3","","1","","6","1","2",2,"","","lg","pw",0,3,2,5,9,5,4,6,5,5,7,6,7,6,9,"0","","0","",6,6,8,5,7,8,6,7,6,7,6,5,6,6,6,3,4,4,9,9,1,3,3,2,3,4,2,"1,2,4,5,10","1,2,5,10",7,7,11,6,8,6,8,8,7,7,7,6,6,8,7,42,"1","",4,6,5,6,8,8,7,7,3,4,8,7,6,6,40,"1","",NA,NA,1,1,2,1,NA,NA,1,1,2,2,3,2,2,"1,2,4,5,10","1,2,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","to have more fun with a different person",0,FALSE,"163","White",6,6,7,6.5,6.5,5.5,6,7,7,7,7.5,7,6,7.5,5,5.5,8,7,3.5,7.5,6,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,9,9,2.66666666666667,5.11111111111111
33,"0","3","","0","","1,3,6","1","2",2,"","","BR","MK",0,10,5,10,10,0,0,0,10,5,10,10,0,0,9,"0","","0","",7,2,8,5,5,7,6,7,9,5,5,9,10,8,8,8,1,8,9,9,1,8,8,2,4,4,3,"1,2,4,5,6,9","1,2,4,5,6,9,10",5,5,11,6,6,6,8,10,10,6,6,10,10,8,9,39,"1","",4,4,7,7,7,8,10,10,6,6,9,10,7,7,37,"1","",NA,NA,2,7,3,2,NA,NA,2,5,2,4,4,2,1,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","all my purely monogamous relationships were failures, so i thought i would feel more secure dating more people in case one of them decided to break my heart. with that said, me and BR started out mostly monogamous, but MK, who is BR's bff, became closer and closer to us sexually, then emotionally, and the trio of us just happened to really click. ",0,FALSE,"160","Multi-racial",4.5,5,6.5,8,5,9.5,8,5,6,7,10,6,10,8.5,4,7,7.5,10,6,9.5,7,NA,NA,NA,NA,NA,NA,NA,5.66666666666667,9,9,6,6.88888888888889
