"age","sex","sex_orient","sex_orient_4_TEXT","gender","gender_3_TEXT","race","poly_identity","rel_status","num_partners","num_partners_3_TEXT","name_partner","name_partner1","name_partner2","idealAmbitionBlue","idealAttractBlue","idealIntelBlue","idealSexyBlue","idealKindBlue","idealStatusBlue","idealWealthBlue","idealAmbitionOrange","idealAttractOrange","idealIntelOrange","idealSexyOrange","idealKindOrange","idealStatusOrange","idealWealthOrange","attncheck9","orange_gender","orange_gender._3_TEXT","blue_gender","blue_gender_3_TEXT","self_ambition1","self_ambition2","attn_check8","self_intel1","self_intel2","self_kind1","self_kind2","self_attract1","self_attract2","self_finance1","self_finance2","self_sexy1","self_sexy2","self_status1","self_status2","soi_partners","soi_oneencounter","soi_shortterm","soi_sexonly_1","soi_casual_agreement_1","soi_longterm_reverse_1","soi_fantasies1","soi_arousal","soi_fantasies2","fin_invest","time_invest","emot_close","roles_blue","roles_orange","actual_a_ambition1","actual_a_ambition2","attn_check10a","actual_a_intel1","actual_a_intel2","actual_a_kind1","actual_a_kind2","actual_a_attract1","actual_a_attract2","actual_a_finance1","actual_a_finance2","actual_a_sexy1","actual_a_sexy2","actual_a_status1","actual_a_status2","actual_a_age","actual_a_gender","actual_a_gender._4_TEXT","actual_b_ambition1","actual_b_ambition2","actual_b_intel1","actual_b_intel2","actual_b_kind1","actual_b_kind2","actual_b_attract1","actual_b_attract2","actual_b_finance1","actual_b_finance2","actual_b_sexy1","actual_b_sexy2","actual_b_status1","actual_b_status2","actual_b_age","actual_b_gender","actual_b_gender._4_TEXT","jealousy_proneness_1","jealousy_intensity_1","jealousy_proneness1_1","jealousy_intensity1_1","jealousy_proneness2_1","jealousy_intensity2_1","jealousy_sexual","jealousy_emotional.","jealousy_sexual1","jealousy_emotional1","jealousy_sexual2","jealous_emotional2","fin_invest_actual","time_invest_actual","emot_close_actual","roles_partnerA","roles_partnerB","actual_ambition1","actual_ambition2","actual_intel1","actual_intel2","actual_kind1","actual_kind2","actual_attract1","actual_attract2","actual_finance1","actual_finance2","actual_sexy1","actual_sexy2","actual_status1","attn_check10b","actual_status2","actual_partner_age","actual_gender","actual_gender_4_TEXT","poly_attn","textQuality","poly_attn_dup","PIN","raceText","self_ambition","self_intel","self_kind","self_attract","self_finance","self_sexy","self_status","actual_a_ambition","actual_a_intel","actual_a_kind","actual_a_attract","actual_a_finance","actual_a_sexy","actual_a_status","actual_b_ambition","actual_b_intel","actual_b_kind","actual_b_attract","actual_b_finance","actual_b_sexy","actual_b_status","actual_ambition","actual_intel","actual_kind","actual_attract","actual_finance","actual_sexy","actual_status","soiBehavior","soi_longtermR","soiAttitude","soiDesire","soiGlobal"
32,"0","3","","0","","2","1","2",1,"","MR","","",7,7,3,3,7,7,7,0,10,0,10,9,0,0,9,"0","","1","",6,6,8,7,8,6,8,6,7,0,1,7,7,2,2,3,1,1,9,3,4,7,4,4,5,3,4,"3,4,5,10","1,2,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",7,7,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,"","",3,2,6,7,6,7,8,5,2,1,8,7,4,10,2,32,"2","","I am bisexual and need a female connection.",0,FALSE,"73","Black or African American",6,7.5,7,6.5,0.5,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6.5,6.5,6.5,1.5,7.5,3,1.66666666666667,6,6,5,4.22222222222222
27,"0","4","Queer","1","","6","1","1",NA,"","","","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,"2","","2","",7,7,8,3,6,6,7,4,2,5,5,5,2,6,6,1,1,1,9,3,4,2,3,2,4,4,3,"2,3,4,10","1,4,5,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","While I haven't been in a real relationship, I consider myself polyamorous because I enjoy being affectionate and having people I consider my close friends as an important part of my life. ",0,FALSE,"16","White",7,4.5,6.5,3,5,3.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,2.33333333333333,3.11111111111111
67,"1","1","","1","","6","1","2",2,"","","gf","ht",5,4,5,5,4,5,5,4,7,6,8,5,4,3,9,"0","","0","",5,6,8,7,7,5,5,6,6,7,7,5,6,5,6,4,1,2,8,8,2,2,2,2,5,2,3,"1,2,3,4,6","1,2,4,10",5,4,11,5,6,6,5,5,3,5,4,5,4,6,5,68,"1","",5,4,5,5,4,5,6,6,5,4,7,6,5,5,41,"1","",NA,NA,1,1,3,2,NA,NA,2,2,2,3,5,4,2,"1,2,3,4,6","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I feel boring in monogamous relationship, besides male and female ages differently and same partner with time got lack of physical attractiveness. At the same time friendship in long time relationship become more important than love, so separation is not an option for me. Better to find new love and keep old also than to split and move on ",0,FALSE,"8","White",5.5,7,5,6,7,5.5,5.5,4.5,5.5,5.5,4,4.5,4.5,5.5,4.5,5,4.5,6,4.5,6.5,5,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,8,8,2,4.11111111111111
28,"0","3","","0","","6","1","1",NA,"","","","",5,5,6,5,6,3,5,5,5,6,5,6,3,5,9,"1","","1","",7,6,8,8,7,5,7,4,3,2,5,6,8,7,6,5,6,3,9,9,1,7,7,6,4,3,3,"1,2,4,9,10","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I am always open to trying new things and the more I thought about it, the more I envisioned myself enjoying it. ",0,FALSE,"191","White",6.5,7.5,6,3.5,3.5,7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,9,9,6.66666666666667,6.77777777777778
26,"0","3","","0","","6","1","5",1,"","RL","","",5,5,5,5,10,0,5,5,5,5,5,10,0,5,9,"0","","3","Any is fine",4,4,8,9,9,6,8,5,3,6,6,5,4,4,4,2,1,1,4,3,8,3,3,1,4,4,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",3,3,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,"","",8,7,6,7,9,10,5,6,6,6,8,6,6,10,8,24,"1","","While I am not currently in one and do not have experience with it, I would feel happy and fulfilled if I were to be in a loving, compassionate, and close romantic and sexual relationship with two partners as a trio if all involved felt happy and safe with the situation. If no friend that could be a potential partner that my current partner has a mutual sense of attachment and romantic and sexual attraction to comes along, then I will be perfectly happy remaining monogamous with my current partner indefinitely.",0,FALSE,"102","White",4,9,7,4,6,4.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,6.5,9.5,5.5,6,7,7,1.33333333333333,2,3,2.33333333333333,2.22222222222222
36,"0","3","","1","","6","1","2",1,"","sj","","",4,5,6,5,6,4,6,3,6,5,6,6,4,4,9,"1","","0","",5,5,8,7,7,5,6,5,4,6,6,4,4,5,6,2,1,1,8,6,4,4,2,1,4,4,2,"1,2,3,4,5,9,10","1,2,3,4,5,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",3,4,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,"","",5,4,7,7,6,7,7,6,5,6,6,3,5,10,5,37,"3","","It was an organic thing that happened with my partner and I. We were highschool sweethearts, and in a committed relationship before either of us had dated anyone else as adults or had any other sexual partners. So, at a young age we envisioned spending our lifetimes together, with the idea that love/sex/attraction might not be limited to each other exclusively. We had multiple discussions about it, and in our early 20s agreed on polyamory. My partner only started seeing others in their late 20s. Now, they have another long term partner (that I am not romantically involved with) that has lived together with us for the past 8 years. I have been on dating sites etc but I have not gone on any dates with anyone else or had sex with anyone else or pursued any other romantic/sexual relationships. ",0,FALSE,"131","White",5,7,5.5,4.5,6,4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,7,6.5,6.5,5.5,4.5,5,1.33333333333333,6,6.66666666666667,2.33333333333333,3.44444444444444
54,"1","3","","1","","6","1","5",2,"","","jsd","cms",6,7,5,7,4,1,3,4,7,7,7,4,2,6,9,"1","","0","",6,6,8,9,9,8,4,6,4,5,7,7,8,8,8,5,2,3,9,9,2,8,8,6,6,5,4,"1,2,5,10","1,3,5,6,10",1,3,11,8,7,10,8,6,5,2,2,3,9,3,4,45,"2","",7,7,4,4,7,7,6,4,7,7,8,8,7,6,48,"1","",NA,NA,1,2,6,1,NA,NA,1,2,1,2,5,5,4,"2,4,9","1,3,4,5,6,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","variet5y",0,FALSE,"12","White",6,9,6,5,6,7.5,8,2,7.5,9,5.5,2,6,3.5,7,4,7,5,7,8,6.5,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,8,8.66666666666667,7.33333333333333,6.44444444444444
41,"0","3","","0","","6","1","1",NA,"","","","",5,5,5,5,5,3,4,5,6,6,5,5,5,6,9,"1","","0","",4,2,8,6,7,8,9,5,5,2,2,6,6,6,5,3,2,2,7,7,5,7,6,4,4,4,3,"1,2,4,10","1,2,3,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I knew two people that I liked a lot and it was hard to choose between the two of them. So I decided to try seeing both of them at the same time. ",0,FALSE,"6","White",3,6.5,8.5,5,2,6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,5,6.33333333333333,5.66666666666667,4.77777777777778
23,"1","3","","1","","1","1","5",1,"","MR","","",5,10,6,9,1,2,3,3,8,1,1,5,6,10,9,"0","","0","",10,10,8,9,10,7,6,10,10,9,7,10,7,6,5,5,3,4,9,9,1,5,7,6,7,4,2,"1,10","2,3,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,2,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,"","",4,6,6,7,5,9,8,8,4,5,8,5,8,10,6,22,"1","","To have fun, not feel restricted by something",0,FALSE,"164","Asian or Pacific Islander",10,9.5,6.5,10,8,8.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6.5,7,8,4.5,6.5,7,4,9,9,6,6.33333333333333
32,"1","2","","1","","3","1","5",1,"","MD","","",2,6,6,3,9,1,7,1,8,6,4,9,1,7,9,"1","","1","",4,2,8,7,7,7,8,10,10,2,1,8,5,7,6,5,6,8,9,9,1,9,6,6,4,4,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2,3,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,"","",7,7,9,9,10,10,9,6,10,10,7,10,9,10,9,34,"2","","I just like the lifestyle of it.",0,FALSE,"118","Hispanic or Latino",3,7,7.5,10,1.5,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,10,7.5,10,8.5,9,6.33333333333333,9,9,7,7.44444444444444
