"PIN","gender","finInvest","timeInvest","emotClose","sameOrDiff","partner","cluster","finDeviation","timeDeviation","emotDeviation"
106,"0",4,4,3,"1","group","partnered_monog",0,0,1
118,"1",5,5,4,"0","group","partnered_monog",1,1,0
4,"1",3,4,4,"1","group","one_poly",1,0,0
120,"1",5,3,2,"0","group","partnered_monog",1,1,2
41,"1",4,4,3,"1","group","partnered_monog",0,0,1
173,"1",4,4,3,"0","group","single_monog",0,0,1
156,"0",3,4,3,"0","group","partnered_monog",1,0,1
75,"1",6,6,4,"1","group","single_monog",2,2,0
168,"1",3,2,2,"1","group","partnered_monog",1,2,2
119,"1",4,4,3,"1","group","one_poly",0,0,1
178,"0",4,4,3,"1","group","partnered_monog",0,0,1
8,"1",3,4,3,"1","group","partnered_monog",1,0,1
122,"0",7,7,5,"1","group","partnered_monog",3,3,1
190,"1",4,5,4,"1","group","single_monog",0,1,0
18,"0",4,7,5,"1","group","partnered_monog",0,3,1
124,"0",4,4,3,"1","group","single_monog",0,0,1
48,"1",4,4,3,"1","group","single_monog",0,0,1
92,"1",4,4,3,"0","group","partnered_monog",0,0,1
185,"0",4,4,3,"1","group","single_monog",0,0,1
42,"1",4,5,3,"1","group","partnered_monog",0,1,1
20,"0",2,2,2,"0","group","partnered_monog",2,2,2
215,"1",4,5,4,"1","group",NA,0,1,0
164,"1",6,6,4,"1","group","partnered_monog",2,2,0
74,"0",4,4,3,"0","group","partnered_monog",0,0,1
134,"0",4,3,3,"1","group","single_monog",0,1,1
88,"1",4,4,3,"1","group","partnered_monog",0,0,1
79,"1",2,2,1,"1","group","partnered_monog",2,2,3
33,"0",4,4,2,"1","group","partnered_monog",0,0,2
226,"0",4,4,3,"1","group","partnered_monog",0,0,1
126,"1",4,6,4,"0","group","partnered_monog",0,2,0
73,"0",1,2,1,"0","group","multi_poly",3,2,3
160,"1",3,6,3,"0","group","single_monog",1,2,1
139,"0",2,4,4,"0","group","partnered_monog",2,0,0
209,"1",4,4,3,"1","group","single_monog",0,0,1
32,"1",4,4,3,"1","group","partnered_monog",0,0,1
165,"0",5,4,3,"1","group","single_monog",1,0,1
35,"1",5,5,4,"1","group","one_poly",1,1,0
50,"1",4,6,4,"0","group","partnered_monog",0,2,0
163,"1",2,5,4,"1","group","single_monog",2,1,0
111,"0",4,6,5,"1","group","partnered_monog",0,2,1
150,"1",4,4,4,"0","group","partnered_monog",0,0,0
180,"1",6,5,4,"0","group","partnered_monog",2,1,0
125,"0",2,3,4,"1","group","single_monog",2,1,0
191,"0",4,4,3,"1","group","partnered_monog",0,0,1
82,"1",3,3,2,"0","group","partnered_monog",1,1,2
213,"1",4,5,5,"1","group","single_monog",0,1,1
143,"1",5,4,3,"1","group","partnered_monog",1,0,1
57,"1",5,4,2,"1","group","single_monog",1,0,2
142,"1",5,5,4,"1","group","partnered_monog",1,1,0
67,"0",2,3,1,"0","group","single_monog",2,1,3
102,"1",3,6,4,"0","group","partnered_monog",1,2,0
26,"0",4,4,4,"0","group","partnered_monog",0,0,0
13,"1",2,4,1,"1","group","partnered_monog",2,0,3
151,"0",3,4,3,"1","group","partnered_monog",1,0,1
141,"0",4,6,5,"0","group","partnered_monog",0,2,1
223,"1",4,4,3,"1","group","partnered_monog",0,0,1
2,"1",4,4,3,"0","group","partnered_monog",0,0,1
21,"1",4,3,2,"0","group","single_monog",0,1,2
76,"0",1,1,1,"1","group","partnered_monog",3,3,3
97,"1",4,4,3,"1","group","partnered_monog",0,0,1
90,"0",2,3,2,"1","group","single_monog",2,1,2
202,"0",4,4,3,"1","group","partnered_monog",0,0,1
112,"1",4,4,2,"0","group","single_monog",0,0,2
131,"1",4,4,3,"1","group","single_monog",0,0,1
198,"1",7,6,5,"1","group","partnered_monog",3,2,1
127,"1",6,5,4,"1","group","partnered_monog",2,1,0
109,"1",2,2,1,"0","group","partnered_monog",2,2,3
38,"1",4,4,3,"1","group","partnered_monog",0,0,1
108,"0",4,4,3,"1","group","single_poly",0,0,1
7,"1",2,5,3,"1","group","partnered_monog",2,1,1
187,"0",2,2,1,"1","group","partnered_monog",2,2,3
59,"0",3,2,4,"1","group","partnered_monog",1,2,0
159,"0",2,2,4,"0","group","partnered_monog",2,2,0
86,"1",6,4,5,"1","group","single_monog",2,0,1
179,"1",4,4,3,"1","group","single_monog",0,0,1
224,"0",4,4,2,"0","group","partnered_monog",0,0,2
216,"1",6,5,4,"1","group","partnered_monog",2,1,0
117,"0",3,4,3,"0","group","partnered_monog",1,0,1
55,"0",2,5,4,"0","group","single_monog",2,1,0
95,"1",5,2,2,"1","group","partnered_monog",1,2,2
176,"1",2,2,1,"0","group","partnered_monog",2,2,3
123,"0",4,4,3,"1","group","single_monog",0,0,1
40,"0",3,3,3,"1","group","single_monog",1,1,1
53,"0",1,5,3,"0","group","partnered_monog",3,1,1
199,"1",4,5,4,"1","group","single_monog",0,1,0
211,"1",6,5,1,"1","group","partnered_monog",2,1,3
181,"0",2,2,1,"0","group","partnered_monog",2,2,3
28,"1",6,6,5,"1","group","partnered_monog",2,2,1
166,"0",6,4,4,"1","group","partnered_monog",2,0,0
85,"1",6,7,5,"1","group",NA,2,3,1
189,"1",5,4,3,"1","group","partnered_monog",1,0,1
222,"0",2,2,1,"1","group","partnered_monog",2,2,3
58,"1",4,4,3,"1","group","partnered_monog",0,0,1
65,"1",6,4,2,"1","group",NA,2,0,2
27,"1",5,6,3,"0","group","partnered_monog",1,2,1
47,"1",3,2,1,"0","group","partnered_monog",1,2,3
39,"0",4,3,3,"1","group","partnered_monog",0,1,1
116,"1",3,3,2,"0","group","single_monog",1,1,2
101,"0",1,2,2,"0","group","partnered_monog",3,2,2
229,"0",4,4,2,"0","group","partnered_monog",0,0,2
200,"0",3,4,2,"1","group","partnered_monog",1,0,2
174,"1",3,2,5,"0","group","multi_poly",1,2,1
99,"0",4,4,3,"1","group","partnered_monog",0,0,1
217,"1",5,5,4,"0","group","partnered_monog",1,1,0
194,"0",4,5,4,"1","group","partnered_monog",0,1,0
34,"0",2,3,1,"0","group","single_monog",2,1,3
56,"0",4,4,2,"1","group","partnered_monog",0,0,2
184,"1",2,2,2,"1","group","one_poly",2,2,2
225,"0",4,4,3,"1","group","partnered_monog",0,0,1
115,"0",4,2,2,"1","group","single_monog",0,2,2
204,"1",2,4,3,"0","group","single_monog",2,0,1
52,"1",4,4,3,"1","group","partnered_monog",0,0,1
177,"1",4,4,3,"1","group","partnered_monog",0,0,1
161,"0",4,4,3,"1","group","partnered_monog",0,0,1
135,"1",4,4,3,"1","group","partnered_monog",0,0,1
132,"0",6,5,5,"1","group","single_monog",2,1,1
17,"0",3,4,3,"0","group","partnered_monog",1,0,1
3,"0",6,2,1,"0","group","partnered_monog",2,2,3
167,"1",3,3,4,"1","group","single_monog",1,1,0
203,"0",4,4,3,"1","group","single_poly",0,0,1
46,"0",6,5,3,"0","group","partnered_monog",2,1,1
155,"0",1,2,2,"0","group","partnered_monog",3,2,2
220,"0",4,4,2,"0","group","partnered_monog",0,0,2
100,"0",3,4,2,"1","group","single_monog",1,0,2
61,"1",3,2,3,"1","group","partnered_monog",1,2,1
148,"0",6,5,2,"0","group","single_monog",2,1,2
37,"0",4,3,2,"1","group","partnered_monog",0,1,2
12,"0",4,4,3,"1","group","single_monog",0,0,1
192,"0",2,4,4,"0","group","partnered_monog",2,0,0
80,"1",4,4,3,"1","blueClust","1",0,0,1
158,"0",4,5,3,"1","blueClust","1",0,1,1
63,"0",4,4,3,"1","blueClust","2",0,0,1
188,"1",6,4,4,"1","blueClust","1",2,0,0
6,"0",4,4,4,"1","blueClust","1",0,0,0
54,"0",4,2,2,"0","blueClust","2",0,2,2
201,"0",4,4,3,"1","blueClust","1",0,0,1
153,"1",4,4,2,"0","blueClust","1",0,0,2
175,"1",4,3,3,"0","blueClust","2",0,1,1
221,"0",4,4,3,"0","blueClust","1",0,0,1
130,"1",4,4,1,"0","blueClust","2",0,0,3
91,"1",4,4,3,"1","blueClust","2",0,0,1
5,"1",4,4,3,"1","blueClust","2",0,0,1
207,"1",4,4,3,"1","blueClust","2",0,0,1
140,"0",4,4,3,"1","blueClust","2",0,0,1
219,"0",4,4,3,"1","blueClust","1",0,0,1
206,"0",2,3,3,"0","blueClust","2",2,1,1
19,"0",4,4,3,"1","blueClust","1",0,0,1
30,"1",4,4,3,"0","blueClust","2",0,0,1
77,"0",5,3,3,"0","blueClust","1",1,1,1
68,"1",4,3,2,"1","blueClust","2",0,1,2
23,"0",5,4,3,"1","blueClust","1",1,0,1
71,"0",5,5,2,"1","blueClust","1",1,1,2
218,"0",5,6,4,"1","blueClust","1",1,2,0
230,"1",7,7,3,"0","blueClust","2",3,3,1
182,"1",3,4,2,"0","blueClust","2",1,0,2
183,"1",6,5,3,"0","blueClust","2",2,1,1
94,"0",3,5,4,"1","blueClust","1",1,1,0
84,"0",2,2,1,"0","blueClust","1",2,2,3
78,"1",4,1,3,"1","blueClust","2",0,3,1
208,"0",4,2,2,"0","blueClust","2",0,2,2
43,"1",2,3,2,"0","blueClust","1",2,1,2
129,"1",2,2,1,"0","blueClust","1",2,2,3
145,"1",4,4,3,"1","blueClust","1",0,0,1
49,"1",4,5,2,"1","blueClust","1",0,1,2
172,"0",4,4,3,"1","blueClust","2",0,0,1
231,"0",4,4,3,"1","blueClust","1",0,0,1
133,"0",7,7,5,"1","blueClust","1",3,3,1
87,"1",7,6,5,"0","blueClust","2",3,2,1
113,"0",3,3,2,"0","blueClust","2",1,1,2
227,"1",5,3,4,"1","blueClust","2",1,1,0
128,"1",4,4,3,"1","blueClust","2",0,0,1
24,"0",4,3,2,"1","blueClust","1",0,1,2
1,"1",3,4,1,"1","blueClust","1",1,0,3
70,"0",5,5,4,"0","blueClust","2",1,1,0
121,"1",3,3,2,"1","blueClust","1",1,1,2
214,"0",4,4,3,"1","blueClust","2",0,0,1
186,"0",6,2,1,"0","blueClust","2",2,2,3
205,"0",4,4,3,"1","blueClust","1",0,0,1
147,"0",4,3,3,"1","blueClust","1",0,1,1
210,"1",2,2,3,"1","blueClust","1",2,2,1
29,"0",2,3,1,"1","blueClust","1",2,1,3
22,"0",5,5,4,"0","blueClust","2",1,1,0
196,"1",4,4,3,"0","blueClust","1",0,0,1
62,"1",4,4,3,"0","blueClust","1",0,0,1
81,"1",2,2,1,"0","blueClust","1",2,2,3
36,"1",5,6,5,"0","blueClust","2",1,2,1
15,"0",4,4,3,"1","blueClust","2",0,0,1
137,"1",4,4,3,"1","blueClust","1",0,0,1
195,"0",4,2,2,"1","blueClust","2",0,2,2
72,"1",4,4,3,"1","blueClust","2",0,0,1
98,"0",7,6,4,"0","blueClust","2",3,2,0
44,"0",6,6,2,"0","blueClust","2",2,2,2
138,"1",5,5,4,"1","blueClust","2",1,1,0
162,"0",4,4,3,"1","blueClust","1",0,0,1
51,"0",4,4,3,"0","blueClust","1",0,0,1
10,"0",6,6,4,"1","blueClust","1",2,2,0
146,"0",4,4,3,"1","blueClust","1",0,0,1
93,"1",5,3,2,"1","blueClust","1",1,1,2
149,"0",4,4,3,"1","blueClust","1",0,0,1
16,"0",4,4,3,"1","blueClust","1",0,0,1
136,"1",4,4,3,"1","blueClust","2",0,0,1
104,"0",3,3,2,"1","blueClust","1",1,1,2
212,"1",4,4,3,"0","blueClust","1",0,0,1
152,"1",6,5,4,"1","blueClust","1",2,1,0
228,"0",4,5,4,"0","blueClust","2",0,1,0
154,"0",4,4,3,"1","blueClust","1",0,0,1
89,"1",4,5,4,"1","blueClust","2",0,1,0
25,"1",3,3,4,"0","blueClust","2",1,1,0
9,"1",5,4,2,"0","blueClust","1",1,0,2
11,"1",2,2,1,"0","blueClust","1",2,2,3
157,"0",3,4,3,"1","blueClust","1",1,0,1
103,"0",4,4,3,"1","blueClust","2",0,0,1
169,"0",2,1,1,"1","blueClust","1",2,3,3
31,"1",4,4,3,"1","blueClust","1",0,0,1
64,"1",4,3,3,"1","blueClust","1",0,1,1
60,"1",2,4,2,"0","blueClust","1",2,0,2
114,"0",3,5,4,"1","blueClust","1",1,1,0
107,"0",4,4,3,"1","blueClust","1",0,0,1
171,"1",1,3,4,"1","blueClust","1",3,1,0
66,"1",3,6,4,"0","blueClust","2",1,2,0
45,"1",4,4,3,"0","blueClust","2",0,0,1
193,"1",4,4,4,"1","blueClust","2",0,0,0
83,"0",4,5,3,"0","blueClust","1",0,1,1
96,"0",3,3,2,"0","blueClust","1",1,1,2
110,"1",4,4,3,"1","blueClust","1",0,0,1
106,"0",4,4,3,"1","blueClust","2",0,0,1
118,"1",5,5,4,"0","blueClust","2",1,1,0
4,"1",3,4,4,"1","blueClust","1",1,0,0
120,"1",5,3,2,"0","blueClust","1",1,1,2
41,"1",4,4,3,"1","blueClust","2",0,0,1
173,"1",4,4,3,"0","blueClust","1",0,0,1
156,"0",3,4,3,"0","blueClust","1",1,0,1
75,"1",6,6,4,"1","blueClust","2",2,2,0
168,"1",3,2,2,"1","blueClust","1",1,2,2
119,"1",4,4,3,"1","blueClust","1",0,0,1
178,"0",4,4,3,"1","blueClust","2",0,0,1
8,"1",3,4,3,"1","blueClust","2",1,0,1
122,"0",7,7,5,"1","blueClust","2",3,3,1
190,"1",4,5,4,"1","blueClust","1",0,1,0
18,"0",4,7,5,"1","blueClust","1",0,3,1
124,"0",4,4,3,"1","blueClust","2",0,0,1
48,"1",4,4,3,"1","blueClust","1",0,0,1
92,"1",4,4,3,"0","blueClust","2",0,0,1
185,"0",4,4,3,"1","blueClust","1",0,0,1
42,"1",4,5,3,"1","blueClust","2",0,1,1
20,"0",2,2,2,"0","blueClust","1",2,2,2
215,"1",4,5,4,"1","blueClust","1",0,1,0
164,"1",6,6,4,"1","blueClust","2",2,2,0
74,"0",4,4,3,"0","blueClust","2",0,0,1
134,"0",4,3,3,"1","blueClust","1",0,1,1
88,"1",4,4,3,"1","blueClust","2",0,0,1
79,"1",2,2,1,"1","blueClust","2",2,2,3
33,"0",4,4,2,"1","blueClust","1",0,0,2
226,"0",4,4,3,"1","blueClust","1",0,0,1
126,"1",4,6,4,"0","blueClust","1",0,2,0
73,"0",1,2,1,"0","blueClust","1",3,2,3
160,"1",3,6,3,"0","blueClust","2",1,2,1
139,"0",2,4,4,"0","blueClust","1",2,0,0
209,"1",4,4,3,"1","blueClust","2",0,0,1
32,"1",4,4,3,"1","blueClust","2",0,0,1
165,"0",5,4,3,"1","blueClust","1",1,0,1
35,"1",5,5,4,"1","blueClust","1",1,1,0
50,"1",4,6,4,"0","blueClust","2",0,2,0
163,"1",2,5,4,"1","blueClust","2",2,1,0
111,"0",4,6,5,"1","blueClust","1",0,2,1
150,"1",4,4,4,"0","blueClust","2",0,0,0
180,"1",6,5,4,"0","blueClust","2",2,1,0
125,"0",2,3,4,"1","blueClust","1",2,1,0
191,"0",4,4,3,"1","blueClust","1",0,0,1
82,"1",3,3,2,"0","blueClust","1",1,1,2
213,"1",4,5,5,"1","blueClust","1",0,1,1
143,"1",5,4,3,"1","blueClust","1",1,0,1
57,"1",5,4,2,"1","blueClust","1",1,0,2
142,"1",5,5,4,"1","blueClust","1",1,1,0
67,"0",2,3,1,"0","blueClust","2",2,1,3
102,"1",3,6,4,"0","blueClust","2",1,2,0
26,"0",4,4,4,"0","blueClust","2",0,0,0
13,"1",2,4,1,"1","blueClust","1",2,0,3
151,"0",3,4,3,"1","blueClust","1",1,0,1
141,"0",4,6,5,"0","blueClust","1",0,2,1
223,"1",4,4,3,"1","blueClust","2",0,0,1
2,"1",4,4,3,"0","blueClust","2",0,0,1
21,"1",4,3,2,"0","blueClust","2",0,1,2
76,"0",1,1,1,"1","blueClust","1",3,3,3
97,"1",4,4,3,"1","blueClust","2",0,0,1
90,"0",2,3,2,"1","blueClust","1",2,1,2
202,"0",4,4,3,"1","blueClust","1",0,0,1
112,"1",4,4,2,"0","blueClust","2",0,0,2
131,"1",4,4,3,"1","blueClust","2",0,0,1
198,"1",7,6,5,"1","blueClust","2",3,2,1
127,"1",6,5,4,"1","blueClust","1",2,1,0
109,"1",2,2,1,"0","blueClust","1",2,2,3
38,"1",4,4,3,"1","blueClust","2",0,0,1
108,"0",4,4,3,"1","blueClust","1",0,0,1
7,"1",2,5,3,"1","blueClust","1",2,1,1
187,"0",2,2,1,"1","blueClust","1",2,2,3
59,"0",3,2,4,"1","blueClust","1",1,2,0
159,"0",2,2,4,"0","blueClust","1",2,2,0
86,"1",6,4,5,"1","blueClust","2",2,0,1
179,"1",4,4,3,"1","blueClust","2",0,0,1
224,"0",4,4,2,"0","blueClust","2",0,0,2
216,"1",6,5,4,"1","blueClust","2",2,1,0
117,"0",3,4,3,"0","blueClust","1",1,0,1
55,"0",2,5,4,"0","blueClust","1",2,1,0
95,"1",5,2,2,"1","blueClust","2",1,2,2
176,"1",2,2,1,"0","blueClust","1",2,2,3
123,"0",4,4,3,"1","blueClust","2",0,0,1
40,"0",3,3,3,"1","blueClust","1",1,1,1
53,"0",1,5,3,"0","blueClust","1",3,1,1
199,"1",4,5,4,"1","blueClust","1",0,1,0
211,"1",6,5,1,"1","blueClust","1",2,1,3
181,"0",2,2,1,"0","blueClust","1",2,2,3
28,"1",6,6,5,"1","blueClust","1",2,2,1
166,"0",6,4,4,"1","blueClust","1",2,0,0
85,"1",6,7,5,"1","blueClust","2",2,3,1
189,"1",5,4,3,"1","blueClust","2",1,0,1
222,"0",2,2,1,"1","blueClust","1",2,2,3
58,"1",4,4,3,"1","blueClust","2",0,0,1
65,"1",6,4,2,"1","blueClust","2",2,0,2
27,"1",5,6,3,"0","blueClust","1",1,2,1
47,"1",3,2,1,"0","blueClust","2",1,2,3
39,"0",4,3,3,"1","blueClust","1",0,1,1
116,"1",3,3,2,"0","blueClust","1",1,1,2
101,"0",1,2,2,"0","blueClust","1",3,2,2
229,"0",4,4,2,"0","blueClust","1",0,0,2
200,"0",3,4,2,"1","blueClust","1",1,0,2
174,"1",3,2,5,"0","blueClust","1",1,2,1
99,"0",4,4,3,"1","blueClust","1",0,0,1
217,"1",5,5,4,"0","blueClust","1",1,1,0
194,"0",4,5,4,"1","blueClust","1",0,1,0
34,"0",2,3,1,"0","blueClust","1",2,1,3
56,"0",4,4,2,"1","blueClust","1",0,0,2
184,"1",2,2,2,"1","blueClust","1",2,2,2
225,"0",4,4,3,"1","blueClust","1",0,0,1
115,"0",4,2,2,"1","blueClust","1",0,2,2
204,"1",2,4,3,"0","blueClust","2",2,0,1
52,"1",4,4,3,"1","blueClust","2",0,0,1
177,"1",4,4,3,"1","blueClust","1",0,0,1
161,"0",4,4,3,"1","blueClust","1",0,0,1
135,"1",4,4,3,"1","blueClust","1",0,0,1
132,"0",6,5,5,"1","blueClust","1",2,1,1
17,"0",3,4,3,"0","blueClust","1",1,0,1
3,"0",6,2,1,"0","blueClust","2",2,2,3
167,"1",3,3,4,"1","blueClust","2",1,1,0
203,"0",4,4,3,"1","blueClust","1",0,0,1
46,"0",6,5,3,"0","blueClust","2",2,1,1
155,"0",1,2,2,"0","blueClust","1",3,2,2
220,"0",4,4,2,"0","blueClust","2",0,0,2
100,"0",3,4,2,"1","blueClust","2",1,0,2
61,"1",3,2,3,"1","blueClust","1",1,2,1
148,"0",6,5,2,"0","blueClust","2",2,1,2
37,"0",4,3,2,"1","blueClust","1",0,1,2
12,"0",4,4,3,"1","blueClust","1",0,0,1
192,"0",2,4,4,"0","blueClust","1",2,0,0
